[2020/05/07 17:06:47][CONFIG][initService]  Starting service...
[2020/05/07 17:10:09][INFO][modelMapper]  JSON String: {"email": "fakeluisae08@uci.edu", "status": 1, "expr_time": "2020-05-07 18:07:10.000000", "last_used": "2020-05-07 17:09:29.000000", "session_id": "d1f37fbf45347d3a3a451aa91b85172506649ff6506f4ff269384164c07fa0763eab69c66188c9da9cf0f68b879e63f4feffe83ec01ea384b0597fa4a276046f", "time_created": "2020-05-07 17:07:10.000000"}
[2020/05/07 17:10:09][INFO][SessionHandler]  current: 2020-05-07 17:10:09.62
[2020/05/07 17:10:09][INFO][SessionHandler]  last_used: 2020-05-07 17:09:29.0
[2020/05/07 17:10:09][INFO][SessionHandler]  expired: 2020-05-07 18:07:10.0
[2020/05/07 17:10:09][INFO][buildResponse]  Response being built with Result: SESSION_ACTIVE
[2020/05/07 17:10:13][INFO][session]  Entering Session Endpoint
[2020/05/07 17:10:13][INFO][modelMapper]  Mapping object from Json String and Response Model was given
[2020/05/07 17:10:13][INFO][modelMapper]  JSON String: {"email":"fakeluisae08@uci.edu","session_id":"d1f37fbf45347d3a3a451aa91b85172506649ff6506f4ff269384164c07fa0763eab69c66188c9da9cf0f68b879e63f4feffe83ec01ea384b0597fa4a276046f"}
[2020/05/07 17:10:13][INFO][eInvalidFormat]  fakeluisae08@uci.edu
[2020/05/07 17:10:13][INFO][session]  Exiting Session Endpoint Normally
[2020/05/07 17:10:13][INFO][SessionHandler]  Inside SessionHandler
[2020/05/07 17:10:13][INFO][userInDb]  Query for looking for user: com.mysql.cj.jdbc.ClientPreparedStatement: SELECT JSON_OBJECT('user_id',user_id,'email',email,'status',status,'plevel',plevel,'salt',salt,'pword',pword) as UserFound FROM user WHERE email LIKE 'fakeluisae08@uci.edu';
[2020/05/07 17:10:13][INFO][modelMapper]  Mapping object from Json String; no Response Model was given.
[2020/05/07 17:10:13][INFO][modelMapper]  JSON String: {"salt": "c47de7a8", "email": "fakeluisae08@uci.edu", "pword": "c3e757e7a8838259aa4fefa438eb3514af7acd94b54001a51d95e177499d3369755f9472f733ccd14c1f6dcc27b0799fdcd306aeccb6ceaad83c8e4b6d6e9a10", "plevel": 5, "status": 1, "user_id": 24}
[2020/05/07 17:10:13][INFO][sessionInDb]  Query for checking if session is in the database: com.mysql.cj.jdbc.ClientPreparedStatement: SELECT JSON_OBJECT('session_id',session_id,'email',email,'status',status,'time_created',time_created,'last_used',last_used,'expr_time',expr_time)as SessionFound FROM session WHERE session_id = 'd1f37fbf45347d3a3a451aa91b85172506649ff6506f4ff269384164c07fa0763eab69c66188c9da9cf0f68b879e63f4feffe83ec01ea384b0597fa4a276046f';
[2020/05/07 17:10:13][INFO][modelMapper]  Mapping object from Json String; no Response Model was given.
[2020/05/07 17:10:13][INFO][modelMapper]  JSON String: {"email": "fakeluisae08@uci.edu", "status": 1, "expr_time": "2020-05-07 18:07:10.000000", "last_used": "2020-05-07 17:10:10.000000", "session_id": "d1f37fbf45347d3a3a451aa91b85172506649ff6506f4ff269384164c07fa0763eab69c66188c9da9cf0f68b879e63f4feffe83ec01ea384b0597fa4a276046f", "time_created": "2020-05-07 17:07:10.000000"}
[2020/05/07 17:10:13][INFO][SessionHandler]  current: 2020-05-07 17:10:13.057
[2020/05/07 17:10:13][INFO][SessionHandler]  last_used: 2020-05-07 17:10:10.0
[2020/05/07 17:10:13][INFO][SessionHandler]  expired: 2020-05-07 18:07:10.0
[2020/05/07 17:10:13][INFO][buildResponse]  Response being built with Result: SESSION_ACTIVE
[2020/05/07 17:10:13][INFO][privilege]  Entering Privilege Endpoint
[2020/05/07 17:10:13][INFO][modelMapper]  Mapping object from Json String and Response Model was given
[2020/05/07 17:10:13][INFO][modelMapper]  JSON String: {"email":"fakeluisae08@uci.edu","plevel":4}
[2020/05/07 17:10:13][INFO][eInvalidFormat]  fakeluisae08@uci.edu
[2020/05/07 17:10:13][INFO][privilege]  Exiting Privilege Endpoint Normally
[2020/05/07 17:10:13][INFO][PrivilegeHandler]  Inside PrivilegeHandler
[2020/05/07 17:10:13][INFO][userInDb]  Query for looking for user: com.mysql.cj.jdbc.ClientPreparedStatement: SELECT JSON_OBJECT('user_id',user_id,'email',email,'status',status,'plevel',plevel,'salt',salt,'pword',pword) as UserFound FROM user WHERE email LIKE 'fakeluisae08@uci.edu';
[2020/05/07 17:10:13][INFO][modelMapper]  Mapping object from Json String; no Response Model was given.
[2020/05/07 17:10:13][INFO][modelMapper]  JSON String: {"salt": "c47de7a8", "email": "fakeluisae08@uci.edu", "pword": "c3e757e7a8838259aa4fefa438eb3514af7acd94b54001a51d95e177499d3369755f9472f733ccd14c1f6dcc27b0799fdcd306aeccb6ceaad83c8e4b6d6e9a10", "plevel": 5, "status": 1, "user_id": 24}
[2020/05/07 17:10:13][INFO][buildResponse]  Response being built with Result: INSUFFICIENT_PLEVEL
